name,author,price,bgiver,purchase,book_list_id
(1)성공학개론 ,황상모,5000,,,
(2)성공학개론 ,황상모,5000,,,
(3)삶과 꿈 그리고 직업(개정판),진로설계와자기계발편찬위원회,5000,,,
(4)삶과 꿈 그리고 직업(개정판),진로설계와자기계발편찬위원회,5000,,,
(5)삶과 꿈 그리고 직업(개정판),진로설계와자기계발편찬위원회,5000,,,
(6)세계속의한국 교류와 소통의 역사,세계속의한국편찬위원회,5000,,,
(7)세계속의한국 교류와 소통의 역사,세계속의한국편찬위원회,5000,,,
(8)환경 재난과 인류의 생존 전략,박석순,3000,,,
(9)아랍어와 아랍문화,윤용수 임병필,3000,,,
(10)흔들리는 영혼을 위한 청춘의 인문학,안상헌,3000,,,
(11)종교와 무용,김명숙 옮김,3000,,,
(12)백범일지,백범 김구,3000,,,
(13)인간 커뮤니케이션,홍기선,10000,,,
(14)민주시민교육의 정석(개정판),신두철 허영식,3000,,,
(15)대만을 보는 눈,최원식 백영서,3000,,,
(16)범정 장형의 독립운동과 단국대학 설립,박성순 한시준 이홍구 문종철 염송심,3000,,,
(17)교육평가의 기초,성태제,12000,,,
(18)학교상담과 생활지도,김계현 김동일 김봉환 김창대 김혜숙 남상인 천성문 ,12000,,,
(19)대학물리학2,대학물리학 교재편찬위원회,15000,,,
(20)창의공학설계입문,홍현필 김대석 박성균,5000,,,
(21)공학용 대학화학실험법,대학화학실험법편찬위원회,3000,,,
(22)경제학 들어가기,이준구 이창용,5000,,,
(23)Principles of Financial accounting with coneptual emphasis on IFRS,Reeve Warren Duchac Wang,6000,,,
(24)제 3판 전략경영과 경쟁우위,신형덕,6000,,,
(25)Operations and supply management the core second edition,Jacobs Chase,5000,,,
(26)IFRS 고급회계,이만우 신헌걸 최창규 김현식,10000,,,
(27)경영정보시스템의 이해 제 10판,백동현 김우주 남수현 진찬용 천세학,13000,,,
(28)대학물리학 1,대학물리학교재편찬위원회,3000,,,
(29)국제운송물류론 제 4개정판,전순환,21000,,,
(30)쉽게 이해하는 통계학,김흥규,5000,,,
(31)Survey of Accounting,Warren,16000,,,
(32)Survey of Accounting,Warren,15000,,,
(33)The management of Strategy Concepts,Ireland Hoskisson Hitt,15000,,,
(34)MIS,Bidgoli,15000,,,
(35)Effective leadership,Achua Lussier,25000,,,
(36)Effective leadership,Achua Lussier,24000,,,
(37)경영품질론 제 3판,안영진,10000,,,
(38)거시조직이론 개정4판,김인수,10000,,,
(39)현대 마케팅론 제 7판,유필화 김용준 한상만,10000,,,
(40)경영정보학 개론,오재인,8000,,,
(41)managerial accounting,james jiambalvo,5000,,,
(42)IT경영 the MIS,권태형,15000,,,
(43)글로벌경영 제5판,장세진,10000,,,
(44)전략경영과 경쟁우위 제 3판,신형덕 옮김,5000,,,
(45)생산운영관리,안영진 유영목 홍석기,12000,,,
(46)생산운영관리,안영진 유영목 홍석기,13000,,,
(47)Kotler의 마케팅 원리 12판,안광호 유창조 전승우,8000,,,
(48) Kotler의 마케팅 관리,조호현 신종칠 홍성태 김동진,12000,,,
(49)지속가능시대의 서비스경영,서비스경영연구회,5000,,,
(50)지속가능시대의 서비스경영,서비스경영연구회,6000,,,
